arc,vmedian,vmean,biketype
31104-31104,120.0,200.0,ebike
31104-31110,240.0,240.0,ebike
31104-31113,1260.0,1260.0,ebike
31104-31296,2850.0,2850.0,ebike
31110-31104,270.0,270.0,ebike
31110-31110,660.0,820.0,ebike
31110-31296,360.0,380.0,ebike
31113-31104,3420.0,3420.0,ebike
31113-31110,1560.0,1560.0,ebike
31113-31113,1650.0,1410.0,ebike
31113-31116,120.0,120.0,ebike
31113-31296,300.0,300.0,ebike
31114-31104,1740.0,1740.0,ebike
31114-31110,180.0,180.0,ebike
31114-31113,1230.0,1230.0,ebike
31114-31114,1500.0,1126.6666666666667,ebike
31114-31116,1140.0,1140.0,ebike
31114-31296,2280.0,2280.0,ebike
31116-31104,300.0,300.0,ebike
31116-31110,1680.0,1680.0,ebike
31116-31113,120.0,120.0,ebike
31116-31114,870.0,870.0,ebike
31116-31116,1680.0,1680.0,ebike
31296-31104,2220.0,2220.0,ebike
31296-31110,240.0,320.0,ebike
31296-31114,300.0,340.0,ebike
31296-31116,1440.0,1440.0,ebike
31110-31113,267.0,267.0,ebike
31296-31113,267.0,267.0,ebike
31116-31296,267.0,267.0,ebike
31104-31114,267.0,267.0,ebike
31110-31114,267.0,267.0,ebike
31113-31114,267.0,267.0,ebike
31110-31116,267.0,267.0,ebike
31296-31296,267.0,267.0,ebike
31104-31116,267.0,267.0,ebike
31104-31104,130.5,185.55555555555554,pedal
31104-31110,280.0,275.2156862745098,pedal
31104-31113,122.5,175.11111111111111,pedal
31104-31114,158.5,181.125,pedal
31104-31116,159.0,185.74468085106383,pedal
31104-31296,89.0,97.4074074074074,pedal
31110-31104,374.0,374.93548387096774,pedal
31110-31110,320.0,325.62068965517244,pedal
31110-31113,286.5,302.3888888888889,pedal
31110-31114,209.0,240.48275862068965,pedal
31110-31116,196.5,210.42307692307693,pedal
31110-31296,426.0,435.03636363636366,pedal
31113-31104,144.5,198.71428571428572,pedal
31113-31110,182.0,201.1492537313433,pedal
31113-31113,254.0,270.1904761904762,pedal
31113-31114,117.0,125.63636363636364,pedal
31113-31116,132.5,159.66666666666666,pedal
31113-31296,159.0,173.52272727272728,pedal
31114-31104,174.0,204.47826086956522,pedal
31114-31110,135.0,142.85882352941175,pedal
31114-31113,200.0,241.0,pedal
31114-31114,144.0,232.82608695652175,pedal
31114-31116,171.5,242.0,pedal
31114-31296,227.0,254.77551020408163,pedal
31116-31104,262.0,259.875,pedal
31116-31110,130.0,141.36363636363637,pedal
31116-31113,233.0,254.13333333333333,pedal
31116-31114,86.0,131.21428571428572,pedal
31116-31116,224.0,255.41666666666666,pedal
31116-31296,272.5,287.8125,pedal
31296-31104,94.0,161.79310344827587,pedal
31296-31110,288.0,304.83076923076925,pedal
31296-31113,163.0,193.0212765957447,pedal
31296-31114,208.5,231.2608695652174,pedal
31296-31116,177.5,189.55882352941177,pedal
31296-31296,188.0,242.12,pedal
