hr,poisson,hrtime,perhr,vcumsum
0,1.2916666666666667,0,0.2152777777777778,0.2152777777777778
1,1.2916666666666667,60,0.2152777777777778,0.4305555555555556
2,1.2916666666666667,120,0.2152777777777778,0.6458333333333334
3,1.2916666666666667,180,0.2152777777777778,0.8611111111111112
4,1.2916666666666667,240,0.2152777777777778,1.0763888888888888
5,1.2916666666666667,300,0.2152777777777778,1.2916666666666665
6,4.523809523809524,360,1.130952380952381,2.4226190476190474
7,4.523809523809524,420,1.130952380952381,3.5535714285714284
8,4.523809523809524,480,1.130952380952381,4.684523809523809
9,4.523809523809524,540,1.130952380952381,5.81547619047619
10,5.031746031746032,600,0.7188208616780045,6.534297052154194
11,5.031746031746032,660,0.7188208616780045,7.253117913832199
12,5.031746031746032,720,0.7188208616780045,7.971938775510203
13,5.031746031746032,780,0.7188208616780045,8.690759637188208
14,5.031746031746032,840,0.7188208616780045,9.409580498866212
15,5.031746031746032,900,0.7188208616780045,10.128401360544217
16,5.031746031746032,960,0.7188208616780045,10.847222222222221
17,7.2153846153846155,1020,1.8038461538461539,12.651068376068375
18,7.2153846153846155,1080,1.8038461538461539,14.454914529914529
19,7.2153846153846155,1140,1.8038461538461539,16.258760683760684
20,7.2153846153846155,1200,1.8038461538461539,18.06260683760684
21,2.1875,1260,1.09375,19.15635683760684
22,2.1875,1320,1.09375,20.25010683760684
23,1.4736842105263157,1380,1.4736842105263157,21.723791048133155
